ph,salinity,moisture,tds,light,temperature,humidity,timestamp
420,869,36,1020,84,31.6,50,2023-09-27 3:56:08.100
422,870,33,1021,84,31.6,50,2023-09-27 3:56:12.100
424,865,36,1015,84,31.6,50,2023-09-27 3:56:16.100
423,865,35,1018,84,31.6,50,2023-09-27 3:56:20.100
420,869,33,1020,84,31.6,50,2023-09-27 3:56:24.100
420,869,37,1020,85,31.6,50,2023-09-27 3:56:28.100
421,869,33,1021,84,31.6,50,2023-09-27 3:56:32.100
424,864,38,1015,84,31.7,50,2023-09-27 3:56:36.100
421,867,39,1017,84,31.6,50,2023-09-27 3:56:40.100
423,866,36,1019,84,31.6,50,2023-09-27 3:56:44.100
422,865,39,1017,84,31.6,50,2023-09-27 3:56:48.100
423,865,39,1018,84,31.7,50,2023-09-27 3:56:52.100
420,868,34,1021,84,31.6,50,2023-09-27 3:56:56.100
420,870,34,1022,84,31.6,50,2023-09-27 3:57:00.100
421,869,35,1019,84,31.6,50,2023-09-27 3:57:04.100
